n,structure,operation,worst_case_count
500,"Doubly Linked Unsorted","Delete",1
500,"Doubly Linked Unsorted","Maximum",499
500,"Doubly Linked Unsorted","Minimum",499
500,"Doubly Linked Unsorted","Predecessor",500
500,"Doubly Linked Unsorted","Successor",500
500,"Doubly Linked Sorted","Search",500
500,"Doubly Linked Sorted","Insert",501
500,"Doubly Linked Sorted","Delete",1
500,"Doubly Linked Sorted","Maximum",1
500,"Doubly Linked Sorted","Minimum",1
500,"Doubly Linked Sorted","Predecessor",1
500,"Doubly Linked Sorted","Successor",1
1000,"Unsorted Array","Search",1000
1000,"Unsorted Array","Insert",1
1000,"Unsorted Array","Delete",999
1000,"Unsorted Array","Maximum",999
1000,"Unsorted Array","Minimum",999
1000,"Unsorted Array","Predecessor",1000
1000,"Unsorted Array","Successor",1000
1000,"Sorted Array","Search",9
1000,"Sorted Array","Insert",1001
1000,"Sorted Array","Delete",999
1000,"Sorted Array","Maximum",1
1000,"Sorted Array","Minimum",1
1000,"Sorted Array","Predecessor",1
1000,"Sorted Array","Successor",1
1000,"Singly Linked Unsorted","Search",1000
1000,"Singly Linked Unsorted","Insert",1
1000,"Singly Linked Unsorted","Delete",999
1000,"Singly Linked Unsorted","Maximum",999
1000,"Singly Linked Unsorted","Minimum",999
1000,"Singly Linked Unsorted","Predecessor",1000
1000,"Singly Linked Unsorted","Successor",1000
1000,"Singly Linked Sorted","Search",1000
1000,"Singly Linked Sorted","Insert",1000
1000,"Singly Linked Sorted","Delete",999
1000,"Singly Linked Sorted","Maximum",999
1000,"Singly Linked Sorted","Minimum",1
1000,"Singly Linked Sorted","Predecessor",999
1000,"Singly Linked Sorted","Successor",1
1000,"Doubly Linked Unsorted","Search",1000
1000,"Doubly Linked Unsorted","Insert",1
1000,"Doubly Linked Unsorted","Delete",1
1000,"Doubly Linked Unsorted","Maximum",999
1000,"Doubly Linked Unsorted","Minimum",999
1000,"Doubly Linked Unsorted","Predecessor",1000
1000,"Doubly Linked Unsorted","Successor",1000
1000,"Doubly Linked Sorted","Search",1000
1000,"Doubly Linked Sorted","Insert",1001
1000,"Doubly Linked Sorted","Delete",1
1000,"Doubly Linked Sorted","Maximum",1
1000,"Doubly Linked Sorted","Minimum",1
1000,"Doubly Linked Sorted","Predecessor",1
1000,"Doubly Linked Sorted","Successor",1
2000,"Unsorted Array","Search",2000
2000,"Unsorted Array","Insert",1
2000,"Unsorted Array","Delete",1999
2000,"Unsorted Array","Maximum",1999
2000,"Unsorted Array","Minimum",1999
2000,"Unsorted Array","Predecessor",2000
2000,"Unsorted Array","Successor",2000
2000,"Sorted Array","Search",10
2000,"Sorted Array","Insert",2001
2000,"Sorted Array","Delete",1999
2000,"Sorted Array","Maximum",1
2000,"Sorted Array","Minimum",1
2000,"Sorted Array","Predecessor",1
2000,"Sorted Array","Successor",1
2000,"Singly Linked Unsorted","Search",2000
2000,"Singly Linked Unsorted","Insert",1
2000,"Singly Linked Unsorted","Delete",1999
2000,"Singly Linked Unsorted","Maximum",1999
2000,"Singly Linked Unsorted","Minimum",1999
2000,"Singly Linked Unsorted","Predecessor",2000
2000,"Singly Linked Unsorted","Successor",2000
2000,"Singly Linked Sorted","Search",2000
2000,"Singly Linked Sorted","Insert",2000
2000,"Singly Linked Sorted","Delete",1999
2000,"Singly Linked Sorted","Maximum",1999
2000,"Singly Linked Sorted","Minimum",1
2000,"Singly Linked Sorted","Predecessor",1999
2000,"Singly Linked Sorted","Successor",1
2000,"Doubly Linked Unsorted","Search",2000
2000,"Doubly Linked Unsorted","Insert",1
2000,"Doubly Linked Unsorted","Delete",1
2000,"Doubly Linked Unsorted","Maximum",1999
2000,"Doubly Linked Unsorted","Minimum",1999
2000,"Doubly Linked Unsorted","Predecessor",2000
2000,"Doubly Linked Unsorted","Successor",2000
2000,"Doubly Linked Sorted","Search",2000
2000,"Doubly Linked Sorted","Insert",2001
2000,"Doubly Linked Sorted","Delete",1
2000,"Doubly Linked Sorted","Maximum",1
2000,"Doubly Linked Sorted","Minimum",1
2000,"Doubly Linked Sorted","Predecessor",1
2000,"Doubly Linked Sorted","Successor",1
5000,"Unsorted Array","Search",5000
5000,"Unsorted Array","Insert",1
5000,"Unsorted Array","Delete",4999
5000,"Unsorted Array","Maximum",4999
5000,"Unsorted Array","Minimum",4999
